method,rows,time_min
BACK_TO_FRONT,60,249.88705141050832
BACK_TO_FRONT,60,254.05814466712832
BACK_TO_FRONT,60,211.38813878396275
BACK_TO_FRONT,60,206.10425967983255
BACK_TO_FRONT,60,240.97151973614834
BACK_TO_FRONT,60,225.28006296663034
BACK_TO_FRONT,60,237.1892832738835
BACK_TO_FRONT,60,217.18288324132538
BACK_TO_FRONT,60,230.9807132368601
BACK_TO_FRONT,60,225.78867056761297
BACK_TO_FRONT,60,224.70602555383536
BACK_TO_FRONT,60,223.9211076735184
BACK_TO_FRONT,60,208.12838544247717
BACK_TO_FRONT,60,267.3664467323169
BACK_TO_FRONT,60,228.50817356672715
BACK_TO_FRONT,60,208.15187566316305
BACK_TO_FRONT,60,238.91373199405055
BACK_TO_FRONT,60,236.18686160302983
BACK_TO_FRONT,60,232.0847342954155
BACK_TO_FRONT,60,238.3088421421362
BACK_TO_FRONT,60,244.43621803208086
BACK_TO_FRONT,60,213.49996516177941
BACK_TO_FRONT,60,250.99027076974423
BACK_TO_FRONT,60,233.02868244263058
BACK_TO_FRONT,60,229.71542463210503
BACK_TO_FRONT,60,239.4028418494276
BACK_TO_FRONT,60,201.42707461703958
BACK_TO_FRONT,60,242.66850005557603
BACK_TO_FRONT,60,220.57410966883222
BACK_TO_FRONT,60,240.223116476169
BACK_TO_FRONT,60,211.235264451884
BACK_TO_FRONT,60,228.82900732034707
BACK_TO_FRONT,60,240.69985891243562
BACK_TO_FRONT,60,221.01161464436794
FRONT_TO_BACK,60,297.3678375977683
FRONT_TO_BACK,60,296.44355136362634
FRONT_TO_BACK,60,291.5553591850396
FRONT_TO_BACK,60,292.8881096047457
FRONT_TO_BACK,60,298.9173057807043
FRONT_TO_BACK,60,310.96337505387385
FRONT_TO_BACK,60,284.6611665959275
FRONT_TO_BACK,60,291.93303737746464
FRONT_TO_BACK,60,308.41486253657916
FRONT_TO_BACK,60,310.12400950363826
FRONT_TO_BACK,60,265.617727956595
FRONT_TO_BACK,60,316.3474030393092
FRONT_TO_BACK,60,305.36173265337607
FRONT_TO_BACK,60,292.69981657006207
FRONT_TO_BACK,60,264.19059093276155
FRONT_TO_BACK,60,334.8934432513212
FRONT_TO_BACK,60,305.5795208807801
FRONT_TO_BACK,60,277.06065612112985
FRONT_TO_BACK,60,290.66772969220534
FRONT_TO_BACK,60,289.793040014556
FRONT_TO_BACK,60,286.9902813031483
FRONT_TO_BACK,60,300.80393291772486
FRONT_TO_BACK,60,284.4918316392467
FRONT_TO_BACK,60,295.6675483874172
FRONT_TO_BACK,60,293.70219714465986
FRONT_TO_BACK,60,312.5369182694465
FRONT_TO_BACK,60,329.07581850978033
FRONT_TO_BACK,60,278.73142358462246
FRONT_TO_BACK,60,323.56124114420635
FRONT_TO_BACK,60,285.28785420890864
FRONT_TO_BACK,60,301.66328010577655
FRONT_TO_BACK,60,308.3682650911283
FRONT_TO_BACK,60,295.1394145299434
FRONT_TO_BACK,60,298.85241614964383
FRONT_TO_BACK,60,308.40220531821575
FRONT_TO_BACK,60,301.24818767270426
FRONT_TO_BACK,60,290.7344422604775
FRONT_TO_BACK,60,316.6934492488288
FRONT_TO_BACK,60,302.25943407015626
FRONT_TO_BACK,60,292.9527240681028
FRONT_TO_BACK,60,278.58642141346024
FRONT_TO_BACK,60,296.15725198658345
FRONT_TO_BACK,60,285.64340615404393
FRONT_TO_BACK,60,293.6859888414404
FRONT_TO_BACK,60,262.68156834299594
FRONT_TO_BACK,60,282.03296001708435
FRONT_TO_BACK,60,305.78234458252774
FRONT_TO_BACK,60,284.31501118721445
FRONT_TO_BACK,60,295.5590932140877
FRONT_TO_BACK,60,290.6865581199398
FRONT_TO_BACK,60,324.0531929645108
FRONT_TO_BACK,60,303.87495045618135
FRONT_TO_BACK,60,312.7687241091329
