method,seed,time_min
FrontToBack,20251080,609.4975300829135
FrontToBack,20251081,599.6348858852057
FrontToBack,20251082,615.261763153837
FrontToBack,20251083,606.6546078918637
FrontToBack,20251084,593.8209688196301
FrontToBack,20251085,599.2768357898339
FrontToBack,20251086,588.108560002342
FrontToBack,20251087,581.3353176956537
FrontToBack,20251088,596.6028482516914
FrontToBack,20251089,585.5263738659311
FrontToBack,20251090,573.3152175385992
FrontToBack,20251091,605.3175741643954
FrontToBack,20251092,596.5043464771962
FrontToBack,20251093,593.6335383041194
FrontToBack,20251094,595.8136542421369
FrontToBack,20251095,592.6855830693477
FrontToBack,20251096,598.452095563511
FrontToBack,20251097,597.9966045212611
FrontToBack,20251098,592.8911782574977
FrontToBack,20251099,573.4336559361287
FrontToBack,20251100,583.5929395718767
FrontToBack,20251101,592.5300380118258
FrontToBack,20251102,595.8903879315178
FrontToBack,20251103,574.5219805642639
FrontToBack,20251104,565.5811691780142
FrontToBack,20251105,581.6083582447332
FrontToBack,20251106,590.748628534942
FrontToBack,20251107,571.9898489276434
FrontToBack,20251108,571.3439946806819
FrontToBack,20251109,595.918504804238
FrontToBack,20251110,603.0448873563737
FrontToBack,20251111,561.6063363171065
FrontToBack,20251112,577.4704083003343
FrontToBack,20251113,592.7112380455566
FrontToBack,20251114,598.9407417887602
FrontToBack,20251115,625.8695080957962
FrontToBack,20251116,588.4007504285553
FrontToBack,20251117,609.2864400170118
FrontToBack,20251118,594.1213754638287
FrontToBack,20251119,586.2779888006886
FrontToBack,20251120,609.0467912141174
FrontToBack,20251121,591.9257146848472
FrontToBack,20251122,599.8749966811029
FrontToBack,20251123,569.4113869258309
FrontToBack,20251124,613.6456210698232
FrontToBack,20251125,611.7285188431497
FrontToBack,20251126,597.8268705478232
FrontToBack,20251127,589.2898926040027
FrontToBack,20251128,588.4628167544452
FrontToBack,20251129,586.0003640126107
FrontToBack,20251130,614.2355959927845
FrontToBack,20251131,601.2749125910943
FrontToBack,20251132,570.565985031107
FrontToBack,20251133,579.6579952481336
FrontToBack,20251134,595.3175689275872
FrontToBack,20251135,584.2606903488205
FrontToBack,20251136,579.1658763183165
FrontToBack,20251137,568.5776334949419
FrontToBack,20251138,578.806786060978
FrontToBack,20251139,567.851739397793
FrontToBack,20251140,596.7108789961032
FrontToBack,20251141,615.3223925145361
FrontToBack,20251142,617.34846043062
FrontToBack,20251143,585.2966709728316
FrontToBack,20251144,590.1868725612491
FrontToBack,20251145,587.7278988463099
FrontToBack,20251146,579.0141766087909
FrontToBack,20251147,586.432757913082
FrontToBack,20251148,596.2267987468288
FrontToBack,20251149,577.0802918160429
FrontToBack,20251150,588.9359281270146
FrontToBack,20251151,575.3714678639059
FrontToBack,20251152,588.9302828651286
FrontToBack,20251153,590.8967772378521
FrontToBack,20251154,585.7108475797062
FrontToBack,20251155,613.9959551766079
FrontToBack,20251156,580.8667280567812
FrontToBack,20251157,585.6585460362332
FrontToBack,20251158,605.3117898174373
FrontToBack,20251159,604.3720171366168
FrontToBack,20251160,576.3728907440748
FrontToBack,20251161,585.8684382965635
FrontToBack,20251162,583.2464699168464
FrontToBack,20251163,590.579895049405
FrontToBack,20251164,601.5009827395679
FrontToBack,20251165,603.7806062578682
FrontToBack,20251166,581.5977343064768
FrontToBack,20251167,597.2770950290549
FrontToBack,20251168,565.9418889753925
FrontToBack,20251169,582.9644266612521
FrontToBack,20251170,583.3679386988654
FrontToBack,20251171,581.5677726717129
FrontToBack,20251172,573.1592223123852
FrontToBack,20251173,593.159808975384
FrontToBack,20251174,597.2041433915803
FrontToBack,20251175,560.9267692373551
FrontToBack,20251176,587.5779457844943
FrontToBack,20251177,582.4193096935365
FrontToBack,20251178,598.735481867342
FrontToBack,20251179,564.4008687618337
FrontToBack,20251180,599.5326419775524
FrontToBack,20251181,580.1567602310024
FrontToBack,20251182,585.2515687220858
FrontToBack,20251183,588.7033360064974
FrontToBack,20251184,585.6466265267485
FrontToBack,20251185,601.8309823131211
FrontToBack,20251186,581.7768383817843
FrontToBack,20251187,578.2641185761541
FrontToBack,20251188,610.1323243574965
FrontToBack,20251189,609.9132347723051
FrontToBack,20251190,585.3864061279793
FrontToBack,20251191,594.5451602464167
FrontToBack,20251192,585.6208868058364
FrontToBack,20251193,553.9373252545845
FrontToBack,20251194,603.0519531504631
FrontToBack,20251195,596.7083357311564
FrontToBack,20251196,598.4833253385041
FrontToBack,20251197,606.8099402892257
FrontToBack,20251198,573.9608931844024
FrontToBack,20251199,586.8878652894451
FrontToBack,20251200,609.2484656992451
